scenario,policy_name,seed,step,queue_A,queue_B,queue_C,pending_tasks,num_jobs_completed,throughput,total_agv_distance,bottleneck_station,bottleneck_queue_length
basic,fifo,43,0,0,0,0,0,0,0.0,2,ProcessA,0
basic,fifo,43,1,0,0,0,0,0,0.0,2,ProcessA,0
basic,fifo,43,2,0,0,0,0,0,0.0,4,ProcessA,0
basic,fifo,43,3,0,0,0,0,0,0.0,4,ProcessA,0
basic,fifo,43,4,1,0,0,0,0,0.0,4,ProcessA,1
basic,fifo,43,5,1,0,0,1,0,0.0,4,ProcessA,1
basic,fifo,43,6,0,0,0,0,0,0.0,6,ProcessA,0
basic,fifo,43,7,0,0,0,0,0,0.0,6,ProcessA,0
basic,fifo,43,8,0,0,0,0,0,0.0,10,ProcessA,0
basic,fifo,43,9,0,0,0,1,0,0.0,10,ProcessA,0
basic,fifo,43,10,0,0,0,0,0,0.0,14,ProcessA,0
basic,fifo,43,11,0,0,0,1,0,0.0,14,ProcessA,0
basic,fifo,43,12,0,0,0,0,0,0.0,18,ProcessA,0
basic,fifo,43,13,0,0,0,0,0,0.0,18,ProcessA,0
basic,fifo,43,14,0,0,0,1,0,0.0,18,ProcessA,0
basic,fifo,43,15,0,0,0,1,0,0.0,22,ProcessA,0
basic,fifo,43,16,0,0,0,1,0,0.0,30,ProcessA,0
basic,fifo,43,17,0,0,0,1,0,0.0,30,ProcessA,0
basic,fifo,43,18,0,0,0,2,0,0.0,30,ProcessA,0
basic,fifo,43,19,0,0,0,2,0,0.0,32,ProcessA,0
basic,fifo,43,20,0,0,0,2,0,0.0,32,ProcessA,0
basic,fifo,43,21,0,0,0,3,0,0.0,32,ProcessA,0
basic,fifo,43,22,0,0,0,2,0,0.0,34,ProcessA,0
basic,fifo,43,23,0,0,0,2,0,0.0,34,ProcessA,0
basic,fifo,43,24,0,0,0,2,1,0.04,38,ProcessA,0
basic,fifo,43,25,0,0,0,1,1,0.038461538461538464,44,ProcessA,0
basic,fifo,43,26,0,0,0,2,1,0.037037037037037035,44,ProcessA,0
basic,fifo,43,27,0,0,0,3,1,0.03571428571428571,44,ProcessA,0
basic,fifo,43,28,0,0,0,3,1,0.034482758620689655,50,ProcessA,0
basic,fifo,43,29,0,0,0,3,1,0.03333333333333333,50,ProcessA,0
basic,fifo,43,30,0,0,0,4,1,0.03225806451612903,50,ProcessA,0
basic,fifo,43,31,0,0,0,3,1,0.03125,56,ProcessA,0
basic,fifo,43,32,0,0,0,3,1,0.030303030303030304,56,ProcessA,0
