scenario,policy_name,seed,step,queue_A,queue_B,queue_C,pending_tasks,num_jobs_completed,throughput,total_agv_distance,bottleneck_station,bottleneck_queue_length
basic,nearest,44,0,0,0,0,0,0,0.0,0,ProcessA,0
basic,nearest,44,1,0,0,0,0,0,0.0,0,ProcessA,0
basic,nearest,44,2,0,0,0,0,0,0.0,0,ProcessA,0
basic,nearest,44,3,0,0,0,0,0,0.0,2,ProcessA,0
basic,nearest,44,4,0,0,0,0,0,0.0,2,ProcessA,0
basic,nearest,44,5,0,0,0,0,0,0.0,4,ProcessA,0
basic,nearest,44,6,0,0,0,0,0,0.0,8,ProcessA,0
basic,nearest,44,7,1,0,0,1,0,0.0,8,ProcessA,1
basic,nearest,44,8,1,0,0,2,0,0.0,12,ProcessA,1
basic,nearest,44,9,1,0,0,2,0,0.0,12,ProcessA,1
basic,nearest,44,10,1,0,0,1,0,0.0,14,ProcessA,1
basic,nearest,44,11,2,0,0,1,0,0.0,14,ProcessA,2
basic,nearest,44,12,2,0,0,1,0,0.0,18,ProcessA,2
basic,nearest,44,13,1,0,0,0,0,0.0,22,ProcessA,1
basic,nearest,44,14,1,0,0,0,0,0.0,22,ProcessA,1
basic,nearest,44,15,2,0,0,1,0,0.0,22,ProcessA,2
basic,nearest,44,16,2,0,0,2,0,0.0,26,ProcessA,2
basic,nearest,44,17,1,0,0,1,0,0.0,30,ProcessA,1
basic,nearest,44,18,1,0,0,1,0,0.0,30,ProcessA,1
basic,nearest,44,19,1,0,0,3,0,0.0,30,ProcessA,1
basic,nearest,44,20,1,0,0,4,0,0.0,34,ProcessA,1
basic,nearest,44,21,0,0,0,4,0,0.0,38,ProcessA,0
basic,nearest,44,22,0,0,0,5,0,0.0,38,ProcessA,0
basic,nearest,44,23,0,0,0,7,0,0.0,38,ProcessA,0
basic,nearest,44,24,0,0,0,7,0,0.0,40,ProcessA,0
basic,nearest,44,25,0,0,0,6,0,0.0,42,ProcessA,0
basic,nearest,44,26,0,0,0,7,1,0.037037037037037035,42,ProcessA,0
basic,nearest,44,27,0,0,0,7,1,0.03571428571428571,46,ProcessA,0
basic,nearest,44,28,0,0,0,6,1,0.034482758620689655,50,ProcessA,0
basic,nearest,44,29,0,0,0,6,1,0.03333333333333333,50,ProcessA,0
basic,nearest,44,30,0,0,0,7,2,0.06451612903225806,50,ProcessA,0
basic,nearest,44,31,0,0,0,6,2,0.0625,54,ProcessA,0
basic,nearest,44,32,0,0,0,5,2,0.06060606060606061,60,ProcessA,0
basic,nearest,44,33,0,0,0,5,2,0.058823529411764705,60,ProcessA,0
basic,nearest,44,34,0,0,0,6,3,0.08571428571428572,60,ProcessA,0
basic,nearest,44,35,0,0,0,5,3,0.08333333333333333,64,ProcessA,0
basic,nearest,44,36,0,0,0,5,3,0.08108108108108109,64,ProcessA,0
basic,nearest,44,37,0,0,0,5,3,0.07894736842105263,64,ProcessA,0
basic,nearest,44,38,0,0,0,4,4,0.10256410256410256,70,ProcessA,0
basic,nearest,44,39,0,0,0,3,4,0.1,80,ProcessA,0
basic,nearest,44,40,0,0,0,4,4,0.0975609756097561,80,ProcessA,0
basic,nearest,44,41,0,0,0,4,4,0.09523809523809523,80,ProcessA,0
basic,nearest,44,42,0,0,0,4,4,0.09302325581395349,80,ProcessA,0
basic,nearest,44,43,0,0,0,4,4,0.09090909090909091,80,ProcessA,0
basic,nearest,44,44,0,0,0,3,4,0.08888888888888889,84,ProcessA,0
basic,nearest,44,45,0,0,0,3,4,0.08695652173913043,84,ProcessA,0
basic,nearest,44,46,0,0,0,4,4,0.0851063829787234,84,ProcessA,0
basic,nearest,44,47,0,0,0,4,4,0.08333333333333333,84,ProcessA,0
basic,nearest,44,48,1,0,0,3,4,0.08163265306122448,86,ProcessA,1
basic,nearest,44,49,1,0,0,2,4,0.08,90,ProcessA,1
basic,nearest,44,50,1,0,0,3,4,0.0784313725490196,90,ProcessA,1
basic,nearest,44,51,0,0,0,2,4,0.07692307692307693,92,ProcessA,0
basic,nearest,44,52,1,0,0,2,4,0.07547169811320754,92,ProcessA,1
basic,nearest,44,53,1,0,0,2,4,0.07407407407407407,94,ProcessA,1
basic,nearest,44,54,1,0,0,2,4,0.07272727272727272,98,ProcessA,1
basic,nearest,44,55,0,0,0,2,4,0.07142857142857142,98,ProcessA,0
basic,nearest,44,56,0,0,0,2,4,0.07017543859649122,102,ProcessA,0
basic,nearest,44,57,0,0,0,2,4,0.06896551724137931,102,ProcessA,0
basic,nearest,44,58,0,0,0,3,4,0.06779661016949153,104,ProcessA,0
basic,nearest,44,59,0,0,0,3,4,0.06666666666666667,104,ProcessA,0
basic,nearest,44,60,0,0,0,3,5,0.08196721311475409,106,ProcessA,0
basic,nearest,44,61,0,0,0,2,5,0.08064516129032258,110,ProcessA,0
basic,nearest,44,62,0,0,0,3,5,0.07936507936507936,110,ProcessA,0
basic,nearest,44,63,0,0,0,2,5,0.078125,114,ProcessA,0
basic,nearest,44,64,0,0,0,2,6,0.09230769230769231,114,ProcessA,0
basic,nearest,44,65,0,0,0,2,6,0.09090909090909091,122,ProcessA,0
basic,nearest,44,66,0,0,0,2,6,0.08955223880597014,122,ProcessA,0
basic,nearest,44,67,0,0,0,1,6,0.08823529411764706,124,ProcessA,0
