scenario,policy_name,seed,step,queue_A,queue_B,queue_C,pending_tasks,num_jobs_completed,throughput,total_agv_distance,bottleneck_station,bottleneck_queue_length
bottleneck_B,bottleneck_aware,43,0,0,0,0,0,0,0.0,2,ProcessA,0
bottleneck_B,bottleneck_aware,43,1,0,0,0,0,0,0.0,2,ProcessA,0
bottleneck_B,bottleneck_aware,43,2,0,0,0,0,0,0.0,4,ProcessA,0
bottleneck_B,bottleneck_aware,43,3,0,0,0,0,0,0.0,4,ProcessA,0
bottleneck_B,bottleneck_aware,43,4,1,0,0,1,0,0.0,4,ProcessA,1
bottleneck_B,bottleneck_aware,43,5,0,0,0,0,0,0.0,6,ProcessA,0
bottleneck_B,bottleneck_aware,43,6,0,0,0,0,0,0.0,6,ProcessA,0
bottleneck_B,bottleneck_aware,43,7,0,0,0,1,0,0.0,6,ProcessA,0
bottleneck_B,bottleneck_aware,43,8,0,0,0,0,0,0.0,14,ProcessA,0
bottleneck_B,bottleneck_aware,43,9,0,0,0,0,0,0.0,14,ProcessA,0
bottleneck_B,bottleneck_aware,43,10,0,0,0,0,0,0.0,14,ProcessA,0
bottleneck_B,bottleneck_aware,43,11,0,1,0,0,0,0.0,14,ProcessB,1
bottleneck_B,bottleneck_aware,43,12,0,1,0,0,0,0.0,14,ProcessB,1
bottleneck_B,bottleneck_aware,43,13,0,1,0,1,0,0.0,14,ProcessB,1
bottleneck_B,bottleneck_aware,43,14,0,1,0,0,0,0.0,18,ProcessB,1
bottleneck_B,bottleneck_aware,43,15,0,1,0,0,0,0.0,22,ProcessB,1
bottleneck_B,bottleneck_aware,43,16,0,1,0,1,0,0.0,22,ProcessB,1
bottleneck_B,bottleneck_aware,43,17,0,1,0,1,0,0.0,22,ProcessB,1
bottleneck_B,bottleneck_aware,43,18,0,1,0,0,0,0.0,24,ProcessB,1
bottleneck_B,bottleneck_aware,43,19,0,1,0,0,0,0.0,28,ProcessB,1
bottleneck_B,bottleneck_aware,43,20,0,1,0,1,0,0.0,28,ProcessB,1
bottleneck_B,bottleneck_aware,43,21,0,1,0,0,0,0.0,34,ProcessB,1
bottleneck_B,bottleneck_aware,43,22,0,1,0,1,0,0.0,34,ProcessB,1
bottleneck_B,bottleneck_aware,43,23,0,1,0,0,0,0.0,40,ProcessB,1
bottleneck_B,bottleneck_aware,43,24,0,1,0,1,0,0.0,40,ProcessB,1
