scenario,policy_name,seed,step,queue_A,queue_B,queue_C,pending_tasks,num_jobs_completed,throughput,total_agv_distance,bottleneck_station,bottleneck_queue_length
bottleneck_B,fifo,42,0,0,0,0,0,0,0.0,0,ProcessA,0
bottleneck_B,fifo,42,1,0,0,0,0,0,0.0,2,ProcessA,0
bottleneck_B,fifo,42,2,0,0,0,0,0,0.0,2,ProcessA,0
bottleneck_B,fifo,42,3,0,0,0,0,0,0.0,2,ProcessA,0
bottleneck_B,fifo,42,4,0,0,0,0,0,0.0,2,ProcessA,0
bottleneck_B,fifo,42,5,0,0,0,1,0,0.0,2,ProcessA,0
bottleneck_B,fifo,42,6,0,0,0,0,0,0.0,4,ProcessA,0
bottleneck_B,fifo,42,7,0,0,0,0,0,0.0,6,ProcessA,0
bottleneck_B,fifo,42,8,0,0,0,0,0,0.0,6,ProcessA,0
bottleneck_B,fifo,42,9,0,0,0,0,0,0.0,12,ProcessA,0
bottleneck_B,fifo,42,10,0,0,0,0,0,0.0,12,ProcessA,0
bottleneck_B,fifo,42,11,0,0,0,1,0,0.0,12,ProcessA,0
bottleneck_B,fifo,42,12,0,0,0,1,0,0.0,14,ProcessA,0
bottleneck_B,fifo,42,13,0,0,0,2,0,0.0,14,ProcessA,0
bottleneck_B,fifo,42,14,0,1,0,2,0,0.0,14,ProcessB,1
bottleneck_B,fifo,42,15,0,1,0,0,0,0.0,24,ProcessB,1
bottleneck_B,fifo,42,16,0,1,0,1,0,0.0,24,ProcessB,1
bottleneck_B,fifo,42,17,0,1,0,2,0,0.0,24,ProcessB,1
bottleneck_B,fifo,42,18,0,0,0,2,0,0.0,24,ProcessA,0
bottleneck_B,fifo,42,19,0,0,0,2,0,0.0,26,ProcessA,0
bottleneck_B,fifo,42,20,1,0,0,3,0,0.0,26,ProcessA,1
bottleneck_B,fifo,42,21,0,1,0,2,0,0.0,30,ProcessB,1
bottleneck_B,fifo,42,22,0,1,0,1,0,0.0,36,ProcessB,1
bottleneck_B,fifo,42,23,0,1,0,3,0,0.0,36,ProcessB,1
bottleneck_B,fifo,42,24,0,1,0,3,0,0.0,36,ProcessB,1
bottleneck_B,fifo,42,25,0,1,0,2,0,0.0,42,ProcessB,1
bottleneck_B,fifo,42,26,0,1,0,4,0,0.0,42,ProcessB,1
bottleneck_B,fifo,42,27,0,1,0,6,0,0.0,42,ProcessB,1
bottleneck_B,fifo,42,28,0,0,0,5,0,0.0,46,ProcessA,0
bottleneck_B,fifo,42,29,0,0,0,6,0,0.0,46,ProcessA,0
bottleneck_B,fifo,42,30,0,1,0,6,0,0.0,46,ProcessB,1
bottleneck_B,fifo,42,31,0,1,0,5,0,0.0,50,ProcessB,1
bottleneck_B,fifo,42,32,0,1,0,4,0,0.0,54,ProcessB,1
