scenario,policy_name,seed,step,queue_A,queue_B,queue_C,pending_tasks,num_jobs_completed,throughput,total_agv_distance,bottleneck_station,bottleneck_queue_length
congested,bottleneck_aware,43,0,0,0,0,0,0,0.0,2,ProcessA,0
congested,bottleneck_aware,43,1,0,0,0,0,0,0.0,4,ProcessA,0
congested,bottleneck_aware,43,2,0,0,0,1,0,0.0,4,ProcessA,0
congested,bottleneck_aware,43,3,1,0,0,1,0,0.0,8,ProcessA,1
congested,bottleneck_aware,43,4,1,0,0,1,0,0.0,12,ProcessA,1
congested,bottleneck_aware,43,5,1,0,0,3,0,0.0,12,ProcessA,1
congested,bottleneck_aware,43,6,1,0,0,4,0,0.0,12,ProcessA,1
congested,bottleneck_aware,43,7,2,0,0,4,0,0.0,16,ProcessA,2
congested,bottleneck_aware,43,8,2,0,0,4,0,0.0,20,ProcessA,2
congested,bottleneck_aware,43,9,2,0,0,6,0,0.0,20,ProcessA,2
congested,bottleneck_aware,43,10,2,0,0,7,0,0.0,20,ProcessA,2
congested,bottleneck_aware,43,11,3,0,0,6,0,0.0,22,ProcessA,3
congested,bottleneck_aware,43,12,3,0,0,6,0,0.0,26,ProcessA,3
congested,bottleneck_aware,43,13,3,0,0,8,0,0.0,26,ProcessA,3
congested,bottleneck_aware,43,14,2,0,0,8,0,0.0,32,ProcessA,2
congested,bottleneck_aware,43,15,3,0,0,9,0,0.0,32,ProcessA,3
congested,bottleneck_aware,43,16,3,0,0,9,0,0.0,36,ProcessA,3
congested,bottleneck_aware,43,17,3,0,0,10,0,0.0,36,ProcessA,3
congested,bottleneck_aware,43,18,2,0,0,11,0,0.0,36,ProcessA,2
congested,bottleneck_aware,43,19,4,0,0,12,0,0.0,36,ProcessA,4
congested,bottleneck_aware,43,20,4,0,0,11,0,0.0,42,ProcessA,4
congested,bottleneck_aware,43,21,4,0,0,13,0,0.0,42,ProcessA,4
congested,bottleneck_aware,43,22,3,0,0,14,0,0.0,42,ProcessA,3
congested,bottleneck_aware,43,23,4,0,0,14,0,0.0,44,ProcessA,4
congested,bottleneck_aware,43,24,4,0,0,14,0,0.0,48,ProcessA,4
congested,bottleneck_aware,43,25,4,0,0,17,0,0.0,48,ProcessA,4
congested,bottleneck_aware,43,26,3,0,0,17,0,0.0,52,ProcessA,3
congested,bottleneck_aware,43,27,4,0,0,18,0,0.0,52,ProcessA,4
congested,bottleneck_aware,43,28,4,0,0,19,0,0.0,56,ProcessA,4
congested,bottleneck_aware,43,29,4,0,0,20,0,0.0,56,ProcessA,4
congested,bottleneck_aware,43,30,3,0,0,19,0,0.0,58,ProcessA,3
congested,bottleneck_aware,43,31,4,0,0,20,0,0.0,58,ProcessA,4
congested,bottleneck_aware,43,32,4,0,0,20,1,0.030303030303030304,62,ProcessA,4
congested,bottleneck_aware,43,33,4,0,0,21,1,0.029411764705882353,66,ProcessA,4
congested,bottleneck_aware,43,34,3,0,0,22,1,0.02857142857142857,66,ProcessA,3
congested,bottleneck_aware,43,35,4,0,0,22,1,0.027777777777777776,66,ProcessA,4
congested,bottleneck_aware,43,36,4,0,0,22,2,0.05405405405405406,68,ProcessA,4
congested,bottleneck_aware,43,37,4,0,0,22,2,0.05263157894736842,78,ProcessA,4
congested,bottleneck_aware,43,38,3,0,0,22,2,0.05128205128205128,78,ProcessA,3
congested,bottleneck_aware,43,39,3,0,0,21,2,0.05,84,ProcessA,3
congested,bottleneck_aware,43,40,3,0,0,21,2,0.04878048780487805,84,ProcessA,3
congested,bottleneck_aware,43,41,3,0,0,23,2,0.047619047619047616,84,ProcessA,3
congested,bottleneck_aware,43,42,2,0,0,23,2,0.046511627906976744,84,ProcessA,2
congested,bottleneck_aware,43,43,2,0,0,23,2,0.045454545454545456,84,ProcessA,2
congested,bottleneck_aware,43,44,3,0,0,23,2,0.044444444444444446,84,ProcessA,3
congested,bottleneck_aware,43,45,3,0,0,23,2,0.043478260869565216,86,ProcessA,3
congested,bottleneck_aware,43,46,3,0,0,23,2,0.0425531914893617,86,ProcessA,3
congested,bottleneck_aware,43,47,3,0,0,22,2,0.041666666666666664,90,ProcessA,3
congested,bottleneck_aware,43,48,3,0,0,21,2,0.04081632653061224,92,ProcessA,3
congested,bottleneck_aware,43,49,3,0,0,22,2,0.04,92,ProcessA,3
congested,bottleneck_aware,43,50,3,0,0,23,2,0.0392156862745098,92,ProcessA,3
congested,bottleneck_aware,43,51,3,0,0,21,2,0.038461538461538464,100,ProcessA,3
