scenario,policy_name,seed,step,queue_A,queue_B,queue_C,pending_tasks,num_jobs_completed,throughput,total_agv_distance,bottleneck_station,bottleneck_queue_length
congested,fifo,43,0,0,0,0,0,0,0.0,2,ProcessA,0
congested,fifo,43,1,0,0,0,0,0,0.0,4,ProcessA,0
congested,fifo,43,2,0,0,0,1,0,0.0,4,ProcessA,0
congested,fifo,43,3,1,0,0,1,0,0.0,8,ProcessA,1
congested,fifo,43,4,1,0,0,1,0,0.0,12,ProcessA,1
congested,fifo,43,5,1,0,0,3,0,0.0,12,ProcessA,1
congested,fifo,43,6,1,0,0,4,0,0.0,12,ProcessA,1
congested,fifo,43,7,2,0,0,4,0,0.0,16,ProcessA,2
congested,fifo,43,8,2,0,0,4,0,0.0,20,ProcessA,2
congested,fifo,43,9,2,0,0,6,0,0.0,20,ProcessA,2
congested,fifo,43,10,2,0,0,7,0,0.0,20,ProcessA,2
congested,fifo,43,11,3,0,0,6,0,0.0,22,ProcessA,3
congested,fifo,43,12,3,0,0,6,0,0.0,26,ProcessA,3
congested,fifo,43,13,3,0,0,8,0,0.0,26,ProcessA,3
congested,fifo,43,14,2,0,0,8,0,0.0,32,ProcessA,2
congested,fifo,43,15,3,0,0,9,0,0.0,32,ProcessA,3
congested,fifo,43,16,3,0,0,9,0,0.0,36,ProcessA,3
congested,fifo,43,17,3,0,0,10,0,0.0,36,ProcessA,3
congested,fifo,43,18,2,0,0,11,0,0.0,36,ProcessA,2
congested,fifo,43,19,4,0,0,12,0,0.0,36,ProcessA,4
congested,fifo,43,20,4,0,0,11,0,0.0,42,ProcessA,4
congested,fifo,43,21,4,0,0,13,0,0.0,42,ProcessA,4
congested,fifo,43,22,3,0,0,14,0,0.0,42,ProcessA,3
congested,fifo,43,23,4,0,0,14,0,0.0,48,ProcessA,4
congested,fifo,43,24,4,0,0,14,0,0.0,52,ProcessA,4
congested,fifo,43,25,4,0,0,17,0,0.0,52,ProcessA,4
congested,fifo,43,26,3,0,0,18,0,0.0,52,ProcessA,3
congested,fifo,43,27,4,0,0,19,0,0.0,52,ProcessA,4
congested,fifo,43,28,5,0,0,19,0,0.0,56,ProcessA,5
congested,fifo,43,29,5,0,0,19,0,0.0,58,ProcessA,5
congested,fifo,43,30,4,0,0,19,0,0.0,58,ProcessA,4
congested,fifo,43,31,5,0,0,20,0,0.0,58,ProcessA,5
congested,fifo,43,32,5,0,0,18,0,0.0,68,ProcessA,5
congested,fifo,43,33,5,0,0,20,0,0.0,68,ProcessA,5
congested,fifo,43,34,4,0,0,22,0,0.0,68,ProcessA,4
congested,fifo,43,35,5,0,0,22,0,0.0,68,ProcessA,5
congested,fifo,43,36,5,0,0,22,0,0.0,72,ProcessA,5
congested,fifo,43,37,6,0,0,23,0,0.0,72,ProcessA,6
congested,fifo,43,38,5,0,0,22,0,0.0,74,ProcessA,5
congested,fifo,43,39,5,0,0,22,0,0.0,74,ProcessA,5
congested,fifo,43,40,5,0,0,21,0,0.0,82,ProcessA,5
congested,fifo,43,41,5,0,0,21,0,0.0,88,ProcessA,5
congested,fifo,43,42,4,0,0,22,0,0.0,88,ProcessA,4
congested,fifo,43,43,4,0,0,23,0,0.0,88,ProcessA,4
congested,fifo,43,44,4,0,0,23,0,0.0,88,ProcessA,4
congested,fifo,43,45,4,0,0,24,0,0.0,88,ProcessA,4
congested,fifo,43,46,4,0,0,24,0,0.0,88,ProcessA,4
congested,fifo,43,47,5,0,0,23,0,0.0,92,ProcessA,5
