scenario,policy_name,seed,step,queue_A,queue_B,queue_C,pending_tasks,num_jobs_completed,throughput,total_agv_distance,bottleneck_station,bottleneck_queue_length
congested,nearest,43,0,0,0,0,0,0,0.0,2,ProcessA,0
congested,nearest,43,1,0,0,0,0,0,0.0,4,ProcessA,0
congested,nearest,43,2,0,0,0,1,0,0.0,4,ProcessA,0
congested,nearest,43,3,1,0,0,1,0,0.0,8,ProcessA,1
congested,nearest,43,4,1,0,0,1,0,0.0,12,ProcessA,1
congested,nearest,43,5,1,0,0,3,0,0.0,12,ProcessA,1
congested,nearest,43,6,1,0,0,4,0,0.0,12,ProcessA,1
congested,nearest,43,7,2,0,0,4,0,0.0,14,ProcessA,2
congested,nearest,43,8,2,0,0,4,0,0.0,18,ProcessA,2
congested,nearest,43,9,2,0,0,6,0,0.0,18,ProcessA,2
congested,nearest,43,10,1,0,0,6,0,0.0,22,ProcessA,1
congested,nearest,43,11,2,0,0,6,0,0.0,22,ProcessA,2
congested,nearest,43,12,2,0,0,7,0,0.0,26,ProcessA,2
congested,nearest,43,13,2,0,0,9,0,0.0,26,ProcessA,2
congested,nearest,43,14,1,0,0,9,0,0.0,28,ProcessA,1
congested,nearest,43,15,2,0,0,10,0,0.0,28,ProcessA,2
congested,nearest,43,16,2,0,0,10,0,0.0,30,ProcessA,2
congested,nearest,43,17,2,0,0,10,0,0.0,34,ProcessA,2
congested,nearest,43,18,1,0,0,11,0,0.0,34,ProcessA,1
congested,nearest,43,19,1,0,0,12,0,0.0,38,ProcessA,1
congested,nearest,43,20,1,0,0,13,0,0.0,38,ProcessA,1
congested,nearest,43,21,1,0,0,15,0,0.0,40,ProcessA,1
congested,nearest,43,22,0,0,0,16,0,0.0,40,ProcessA,0
congested,nearest,43,23,0,0,0,17,1,0.041666666666666664,42,ProcessA,0
congested,nearest,43,24,0,0,0,17,1,0.04,46,ProcessA,0
congested,nearest,43,25,0,0,0,20,1,0.038461538461538464,46,ProcessA,0
congested,nearest,43,26,0,0,0,20,1,0.037037037037037035,50,ProcessA,0
congested,nearest,43,27,0,0,0,21,2,0.07142857142857142,50,ProcessA,0
congested,nearest,43,28,0,0,0,22,2,0.06896551724137931,58,ProcessA,0
congested,nearest,43,29,0,0,0,22,2,0.06666666666666667,58,ProcessA,0
congested,nearest,43,30,0,0,0,21,2,0.06451612903225806,60,ProcessA,0
congested,nearest,43,31,0,0,0,22,2,0.0625,60,ProcessA,0
congested,nearest,43,32,0,0,0,23,3,0.09090909090909091,60,ProcessA,0
congested,nearest,43,33,0,0,0,23,3,0.08823529411764706,64,ProcessA,0
congested,nearest,43,34,0,0,0,24,3,0.08571428571428572,64,ProcessA,0
congested,nearest,43,35,0,0,0,24,3,0.08333333333333333,64,ProcessA,0
congested,nearest,43,36,0,0,0,24,4,0.10810810810810811,68,ProcessA,0
congested,nearest,43,37,0,0,0,23,4,0.10526315789473684,78,ProcessA,0
congested,nearest,43,38,0,0,0,24,4,0.10256410256410256,78,ProcessA,0
congested,nearest,43,39,0,0,0,24,4,0.1,78,ProcessA,0
congested,nearest,43,40,0,0,0,23,4,0.0975609756097561,80,ProcessA,0
congested,nearest,43,41,0,0,0,23,4,0.09523809523809523,80,ProcessA,0
