scenario,policy,seed,max_steps,num_agvs,completed_jobs,throughput,pending_tasks,total_agv_distance,avg_agv_utilization,util_A,util_B,util_C,avg_queue_A,avg_queue_B,avg_queue_C,max_queue_A,max_queue_B,max_queue_C,bottleneck_count,bottleneck_count_A,bottleneck_count_B,bottleneck_count_C
basic,fifo,42,100,2,10,0.09900990099009901,0,156,0.86,0.4,0.4,0.4,0.08,0.0,0.0,1,0,0,0,0,0,0
basic,fifo,43,100,2,9,0.0891089108910891,0,172,0.915,0.4,0.4,0.4,0.05,0.0,0.08,1,0,1,0,0,0,0
basic,fifo,44,100,2,10,0.09900990099009901,0,160,0.855,0.4,0.4,0.4,0.36,0.05,0.09,2,1,1,0,0,0,0
basic,nearest,42,100,2,9,0.0891089108910891,0,160,0.87,0.4,0.4,0.4,0.04,0.0,0.0,1,0,0,0,0,0,0
basic,nearest,43,100,2,10,0.09900990099009901,0,156,0.8400000000000001,0.4,0.4,0.4,0.02,0.0,0.0,1,0,0,0,0,0,0
basic,nearest,44,100,2,10,0.09900990099009901,0,154,0.8300000000000001,0.4,0.4,0.4,0.24,0.0,0.0,2,0,0,0,0,0,0
basic,bottleneck_aware,42,100,2,10,0.09900990099009901,0,152,0.845,0.4,0.4,0.4,0.04,0.04,0.0,1,1,0,0,0,0,0
basic,bottleneck_aware,43,100,2,9,0.0891089108910891,0,156,0.85,0.4,0.4,0.4,0.02,0.05,0.04,1,1,1,0,0,0,0
basic,bottleneck_aware,44,100,2,10,0.09900990099009901,0,148,0.81,0.4,0.4,0.4,0.32,0.1,0.09,2,1,1,0,0,0,0
bottleneck_B,fifo,42,100,2,8,0.07920792079207921,0,156,0.8049999999999999,0.3,0.92,0.24,0.01,1.61,0.0,1,4,0,28,0,28,0
bottleneck_B,fifo,43,100,2,8,0.07920792079207921,0,162,0.855,0.3,0.93,0.24,0.02,1.15,0.0,1,2,0,0,0,0,0
bottleneck_B,fifo,44,100,2,7,0.06930693069306931,1,140,0.75,0.3,0.88,0.24,0.09,2.47,0.0,1,5,0,49,0,49,0
bottleneck_B,nearest,42,100,2,8,0.07920792079207921,0,142,0.775,0.3,0.92,0.24,0.04,1.65,0.0,1,3,0,20,0,20,0
bottleneck_B,nearest,43,100,2,8,0.07920792079207921,0,148,0.79,0.3,0.93,0.24,0.02,1.37,0.0,1,3,0,11,0,11,0
bottleneck_B,nearest,44,100,2,7,0.06930693069306931,1,134,0.735,0.3,0.9,0.24,0.04,2.25,0.0,1,4,0,49,0,49,0
bottleneck_B,bottleneck_aware,42,100,2,8,0.07920792079207921,0,142,0.77,0.3,0.92,0.24,0.01,1.66,0.0,1,4,0,30,0,30,0
bottleneck_B,bottleneck_aware,43,100,2,8,0.07920792079207921,0,148,0.7949999999999999,0.3,0.93,0.24,0.02,1.27,0.0,1,3,0,1,0,1,0
bottleneck_B,bottleneck_aware,44,100,2,7,0.06930693069306931,0,138,0.745,0.3,0.88,0.24,0.08,2.41,0.0,1,5,0,48,0,48,0
congested,fifo,42,100,2,1,0.009900990099009901,21,190,0.995,0.98,0.44,0.13,5.12,0.01,0.0,8,1,0,87,87,0,0
congested,fifo,43,100,2,1,0.009900990099009901,21,192,0.995,0.98,0.4,0.16,5.04,0.0,0.0,8,0,0,87,87,0,0
congested,fifo,44,100,2,1,0.009900990099009901,20,186,0.995,0.98,0.37,0.13,4.54,0.04,0.0,8,1,0,84,84,0,0
congested,nearest,42,100,2,10,0.09900990099009901,17,182,0.995,0.54,0.48,0.41,0.28,0.0,0.0,2,0,0,0,0,0,0
congested,nearest,43,100,2,10,0.09900990099009901,17,182,0.995,0.54,0.48,0.41,0.28,0.0,0.0,2,0,0,0,0,0,0
congested,nearest,44,100,2,10,0.09900990099009901,17,182,0.995,0.54,0.48,0.41,0.28,0.0,0.0,2,0,0,0,0,0,0
congested,bottleneck_aware,42,100,2,6,0.0594059405940594,19,186,0.995,0.84,0.47,0.31,2.36,0.34,0.06,4,2,1,57,57,0,0
congested,bottleneck_aware,43,100,2,7,0.06930693069306931,20,186,0.995,0.84,0.47,0.32,2.19,0.43,0.02,4,2,1,55,55,0,0
congested,bottleneck_aware,44,100,2,7,0.06930693069306931,21,182,0.995,0.84,0.47,0.32,2.09,0.36,0.01,4,2,1,46,46,0,0
